,RMSD,GDT,TM,CAD
01_clust01_qrna.pdb,12.671967922846834,0.3583,0.2715,0.0100756
02_clust01_qrna.pdb,15.296345493769534,0.3145,0.22,0.0482274
03_clust01_qrna.pdb,18.37265894481363,0.25,0.1881,0.045629
04_clust01_qrna.pdb,10.951727860401949,0.3816,0.1985,0.132439
05_clust01_qrna.pdb,13.28420385300127,0.3708,0.2458,0.0549422
06_clust01_qrna.pdb,17.560496505334164,0.2823,0.2197,0.055189
07_clust01_qrna.pdb,14.199005795546695,0.3017,0.1875,0.0779998
08_clust01_qrna.pdb,17.930241906974324,0.2388,0.1889,0.0318743
09_clust01_qrna.pdb,15.04685593251718,0.2974,0.2122,0.0198846
10_clust01_qrna.pdb,18.01812513550078,0.2537,0.2039,0.0450109
